review_text,date,rating
Google Talk Back I sometimes talk a little slow and it thinks I've finished. But that's my fault  the app is great.,November 08 2016,5
Nice aap,November 08 2016,4
Worst thing ever if you accidentally turn it on.,November 08 2016,1
Good but facing small issues The app is well designed and it is very good. But we are facing a small issue. When talk back is switched on  the phone ringtone is not working.. We had already reported this bug and it was rectified. But we are facing it again. This small issue has to be rectified.,November 08 2016,3
Talkback Enhances my independence in accessing my phone. The only problem that I'm forced to cope with though is it's occasional hanging in certain applications.,November 08 2016,4
😕😕 Dont now ???,November 08 2016,5
Smart Computer A Hardware  Software and Networking Solutions,November 08 2016,5
Little Net,November 08 2016,1
Love love,November 08 2016,5
How do you switch off? I recently switched it on by mistake but had problems switching it off. In the end I re-installed everything. What is the obvious easy way please?,November 08 2016,2
Besssstttt,November 08 2016,1
Nice,November 08 2016,5
Bad Chii,November 08 2016,1
Too many ads This app is showing too many ads on notification bar. And it is annoying app.,November 07 2016,1
Love is life,November 07 2016,5
I don't think its good. But try this Comments,November 07 2016,5
Arya kalyan Need a TalkBack widget,November 07 2016,4
Rathod God,November 07 2016,5
Good Good,November 07 2016,5
Installed but not sure how to use it,November 07 2016,1
Yghfrifdui,November 07 2016,5
Good,November 07 2016,5
Bangsat Bangsat lu anjing aplikasi kentot bujang inam,November 07 2016,1
Good thing,November 07 2016,5
Great,November 07 2016,5
Good job Good job creators,November 07 2016,5
nexus 5 Android ⚡ 6 0 1 …Iran,November 07 2016,5
Easy to use Supper,November 07 2016,5
It is ok I guess for now if I don't get the urge to throw my phone in the water of a very deep pool,November 07 2016,2
Good Amazing,November 07 2016,5
Shit Taking up valuable Devise memory space and I couldn't uninstall and I couldn't move it to SD card.,November 07 2016,1
home sweet home also,November 07 2016,5
Adekunle adefarati Good,November 07 2016,5
Nice God please help trolls.I know you,November 07 2016,2
Hate it,November 07 2016,1
J O,November 07 2016,5
Loved it I love Google,November 07 2016,5
Application F,November 07 2016,5
Good,November 07 2016,4
Amazing Application,November 07 2016,5
Title Rong Naro Description(option),November 07 2016,5
punaii,November 07 2016,5
Superb...,November 07 2016,5
My baby My life,November 07 2016,5
Helpful,November 07 2016,5
Awesome. Thanks Tak back to the computer,November 07 2016,5
Very nice,November 07 2016,5
M.zaim Ali,November 07 2016,1
Mustapha Mustapha,November 07 2016,5
A mind of its own It talks even if the talk back button is off. What's up with this?,November 07 2016,2
Nice Good,November 07 2016,5
Good Very very helpful,November 07 2016,5
Galaxy Note 5 Good,November 07 2016,4
Invaluable,November 07 2016,5
Good,November 07 2016,3
For an older version,November 07 2016,4
Mm,November 06 2016,5
So Good,November 06 2016,4
What is this it hang my mobile totaly,November 06 2016,1
Wow. Tis was the worst app I have ever had I hate it,November 06 2016,1
